,id,width,npaths,length,fatness,centroid_x,centroid_y,centroid_y_pix,centroid_x_pix,img_x,img_y,N,label
0,0,6.0,1,41.45584412271571,3.352965135350724,11.754110996916753,4.117556847379239,23.73381294964029,135.13669064748203,11,3,166,0_11_3
1,1,8.0,1,16.142135623730955,3.593080949879566,11.239474291871922,3.064558959359606,212.43103448275863,42.91379310344828,11,3,167,1_11_3
0,0,6.0,1,7.414213562373095,3.1021496489829063,9.623301630434783,3.145186335403727,18.782608695652176,111.69565217391305,9,2,168,0_9_2
1,1,6.324555320336759,1,11.242640687119286,4.6252478796708765,9.680910885989011,3.1390367445054945,19.884615384615383,122.01923076923077,9,2,169,1_9_2
2,2,5.656854249492381,1,63.32590180780448,4.2004928853175425,9.864472845059076,2.3046749127282493,169.40225563909775,154.91353383458647,9,2,170,2_9_2
0,0,14.142135623730951,3,13.770740983063071,22.87458607982136,9.074564200680273,11.188686933106576,190.1873015873016,192.56190476190477,8,11,171,0_8_11
1,1,6.0,1,5.242640687119286,6.676024944069116,9.0859375,11.067123724489797,211.97142857142856,194.6,8,11,172,1_8_11
0,0,18.973665961010276,1,21.899494936611667,20.32010333060454,9.853418439004816,12.741823836276083,91.06516853932584,152.93258426966293,9,12,173,0_9_12
0,0,8.48528137423857,3,13.370899457402698,9.124292676694656,32.42323807084309,39.07266356850117,31.778688524590162,75.84426229508196,32,38,174,0_32_38
0,0,12.0,1,42.970562748477136,10.123209289722794,23.516676929392446,1.0854756773399015,29.482758620689655,92.58850574712643,23,0,175,0_23_0
0,0,4.47213595499958,1,37.31370849898477,2.760379606942645,14.450004334257976,20.454501126907072,142.55339805825244,80.64077669902913,14,20,176,0_14_20
0,0,8.0,3,2.414213562373095,18.225396744416184,11.182122564935066,13.17083502435065,193.38636363636363,32.63636363636363,11,13,177,0_11_13
1,1,4.47213595499958,3,1.75,18.285714285714285,11.447474888392858,13.10986328125,204.3125,80.1875,11,13,178,1_11_13
